token,title,publish_date,city,district,url,description,mileage,year_raw,color,brand_model,third_party_insurance,Gearbox_type,Gearbox_condition,fuel_type,asking_price_raw,engine_condition,chassis_condition,body_condition,vehicle_type,asking_price,mileage_km,year_jalali,year_gregorian
gaoeP2h8,حواله سمند سورن پلاس xu7p تحویل یه ماهه,2026-09-15 11:16:00,تهران,شهرآرا,https://divar.ir/v/gaoeP2h8,"حواله آماده است
و تحویلش هم زیر یک ماهه ست
قیمت کارخانه ش هست یک و هفتصد و بیست و پنج
آماده محضر و اتتقال
بالاترین پیشنهاد فروخته می شود",۰,۱۴۰۵ - ۲۰۲۶,سفید,سمند سورن پلاس XU7P بنزینی,,,,بنزین,"‏۱,۰۰۰ تومان",تعیین‌نشده,تعیین‌نشده,سالم و بی‌خط و خش,,1000.0,0.0,1405.0,2026.0
ga3IaiAL,ساینا اس S تکسوز _ دوگانهGx_ اتومات صفر فول 1405,2026-06-21 12:06:00,تهران,تهرانسر شرقی,https://divar.ir/v/ga3IaiAL,":کارشناس فروش 

☎️ خانم توکلی ☎️

⚜️ صـداقـت مـا اعـتبـار مـاسـت ⚜️
لطفاً توجه بفرمایید قیمت اعلامی ما به شما قطعی و واقعی می باشد و در مجموعه ما به هیچ عنوان برای جذب مشتری قیمـت کاذب داده نـمیشـود ‌.

◀️ امکان رویت و کارشناسی خودرو قبل از هرگونه پرداختی 
◀️ تحویل خودرو آنی و مستقیم از اداره تحویل سایپا
◀️ هنگام خرید هیچگونه تغییر قیمت نخواهید داشت بدون هزینه های جانبی اعم از کمیسیون ، مالیات ، عوارض و...

⬇️ خودروی فوق دارای آپشن‌های شرکتی زیر میباشد :

⭐ پارس خودرویی ، رینگ اسپرت
⭐ استاندارد 85 گانه ، سنسور باد ، موتور ارتقا یافته 
⭐ فرمون D ، صفحه کیلومتر جدید
⭐ قفل مرکزی با ریموت کنترل ، صندوق پران
⭐ 4 شیشه و آینه های جانبی برقی
⭐ سوییچ تاشو ، دریچه گاز برقی 
⭐ سنسور پارک دنده عقب 
⭐ دیلایت و اتولایت 

✅ فروش نقدی ، صفر خشک ، سند آزاد
✅ یکسال بیمه شخص ثالث
✅ 3 سال گارانتی تا 60 هزار کیلومتر 
✅ یکسال بیمه بدنه با 70% تخفیف

ساعت تماس : 9 صبح الی 21
☎️( خانم توکلی )☎️

آدرس: تهرانسر _ انتهای بلوار گلها سر 65متری فتح ـ ابتدای ورودی پارکینگ گلها _ سمت چپ { سریر خودرو }",۰,۱۴۰۵ - ۲۰۲۶,سفید,ساینا GX,۱۲ ماه,دنده‌ای,سالم و پلمپ,دوگانه‌سوز شرکتی,"‏۱,۰۰۰ تومان",سالم,سالم و پلمپ,سالم و بی‌خط و خش,,1000.0,0.0,1405.0,2026.0
gamaFwVu,هایما اس ۷ پرو صفر نقد و اقساطی,2026-09-13 11:41:00,تهران,عباس آباد,https://divar.ir/v/gamaFwVu,"*تجارت خودرو مهدی زاده*

⭐️معتبر ترین شرکت و کارگزار رسمی بانک در فروش انواع خودرو داخلی و وارداتی ️ 
✅ شرایط اقساط آزاد و بانکی
✅تحویل فوری خودرو
✅شروع اولین قسط ۶۰ روز پس از تحویل خودرو 
✅فروش انواع خودرو های صفر و کارکرده 
✅بیمه بدنه 
✅سند به نام 
❌الویت با افرادی است که زودتر اقدام به سفارش کنند ❌",۰,۱۴۰۵ - ۲۰۲۶,سفید,هایما S7 Pro 1.5 لیتر توربو,,,,بنزین,"‏۱۱,۰۰۰ تومان",تعیین‌نشده,تعیین‌نشده,سالم و بی‌خط و خش,,11000.0,0.0,1405.0,2026.0
gauomiBw,خودرو تویوتا LE ال کمری 2_500 چین _صفر تحویل آنی,2026-06-14 12:17:00,تهران,عباس آباد,https://divar.ir/v/gauomiBw,"⚪️⚪️⚪️⚪️⚪️⚪️ فـروش محصولات ⚪️⚪️⚪️⚪️⚪️⚪️
       ⚪️⚪️داخلـی⚪️⚪️مونتـاژ⚪️⚪️وآرداتـی⚪️⚪️
________________________________________________
⚪️⚪️⚪️تحـویل درجـا همان لحظــه ✔️✔️✔️
⚪️⚪️⚪️با ۲۰ سـال سابقـه کاری درخشــان ✔️✔️✔️
⚪️⚪️⚪️تحویـل خودرو با ضمانــت بهتریـن کارشناس‌هـا✔️
⚪️⚪️⚪️امکان عقـد قرارداد با شـرکـت‌ها و ارگان‌هـا✔️
═════════════════════════════════
جهـت اطلاع و مشــاوره
با کارشناس فروش ما درتماس باشید، خانوم منتظـری➡️
═════════════════════════════════
⚪️⚪️⚪️دوستان درصورت عدم پاسخ گویی کارشناس═══
⚪️⚪️⚪️به صورت حضوری مراجعه فرمایید ═════
⚪️⚪️⚪️ساعات مراجعه: ۹ صبح الی ۷ عصر═════════
⚪️
⚫️⚫️⚫️⚫️آدرس: تهران ایستگاه متـرو بهشتی══════
⚫️⚫️⚫️⚫️روبه‌روی پارکینگ مصلای امـام خمینـی═══
⚫️⚫️⚫️⚫️پلاکــ ۲۹۶ اتـوگالری 8️⃣ هشـت════════
⬅️⬅️⬅️⬅️داخل نشان و بلد⬅️ اتوگالری 8 هشت
═════════════════════════════════",۰,۲۰۲۵,سفید صدفی,تویوتا,۹ ماه,اتوماتیک,سالم و پلمپ,بنزین,"‏۱,۰۰۰ تومان",سالم,سالم و پلمپ,سالم و بی‌خط و خش,,1000.0,0.0,1404.0,2025.0
gamiFBN1,آریزو ۶ جی تی صفر نقد و اقساطی,2026-09-13 11:41:00,تهران,عباس آباد,https://divar.ir/v/gamiFBN1,"*تجارت خودرو مهدی زاده*

⭐️معتبر ترین شرکت و کارگزار رسمی بانک در فروش انواع خودرو داخلی و وارداتی ️ 
✅ شرایط اقساط آزاد و بانکی
✅تحویل فوری خودرو
✅شروع اولین قسط ۶۰ روز پس از تحویل خودرو 
✅فروش انواع خودرو های صفر و کارکرده 
✅بیمه بدنه 
✅سند به نام 
❌الویت با افرادی است که زودتر اقدام به سفارش کنند ❌",۰,۲۰۲۶,مشکی,فونیکس آریزو 6 جی تی (Z6 GT),,,,بنزین,"‏۱۱,۰۰۰ تومان",تعیین‌نشده,تعیین‌نشده,سالم و بی‌خط و خش,,11000.0,0.0,1405.0,2026.0
gaqIpqLS,تویوتا وایلندر سفید صدفی فول پلاس2025 صفر وایدلندر,2026-06-13 10:46:00,تهران,عباس آباد,https://divar.ir/v/gaqIpqLS,"⚪️⚪️⚪️⚪️⚪️⚪️ فـروش محصولات ⚪️⚪️⚪️⚪️⚪️⚪️
       ⚪️⚪️داخلـی⚪️⚪️مونتـاژ⚪️⚪️وآرداتـی⚪️⚪️
________________________________________________
⚪️⚪️⚪️تحـویل درجـا همان لحظــه ✔️✔️✔️
⚪️⚪️⚪️با ۲۰ سـال سابقـه کاری درخشــان ✔️✔️✔️
⚪️⚪️⚪️تحویـل خودرو با ضمانــت بهتریـن کارشناس‌هـا✔️
⚪️⚪️⚪️امکان عقـد قرارداد با شـرکـت‌ها و ارگان‌هـا✔️
═════════════════════════════════
جهـت اطلاع و مشــاوره
با کارشناس فروش ما درتماس باشید، خانوم منتظـری➡️
═════════════════════════════════
⚪️⚪️⚪️دوستان درصورت عدم پاسخ گویی کارشناس═══
⚪️⚪️⚪️به صورت حضوری مراجعه فرمایید ═════
⚪️⚪️⚪️ساعات مراجعه: ۹ صبح الی ۷ عصر═════════
⚪️
⚫️⚫️⚫️⚫️آدرس: تهران ایستگاه متـرو بهشتی══════
⚫️⚫️⚫️⚫️روبه‌روی پارکینگ مصلای امـام خمینـی═══
⚫️⚫️⚫️⚫️پلاکــ ۲۹۶ اتـوگالری 8️⃣ هشـت════════
⬅️⬅️⬅️⬅️داخل نشان و بلد⬅️ اتوگالری 8 هشت
═════════════════════════════════",۰,۲۰۲۵,سفید صدفی,تویوتا,۱۲ ماه,اتوماتیک,سالم و پلمپ,بنزین,"‏۱,۰۰۰ تومان",سالم,سالم و پلمپ,سالم و بی‌خط و خش,,1000.0,0.0,1404.0,2025.0
gaLyvZC2,نیسان وانت اکستندEX دوگانه نقد و اقساط تحویل روز,2026-08-24 11:41:00,تهران,نارمک جنوبی,https://divar.ir/v/gaLyvZC2,"«»«»«» فروش‌ویژه تابستان «»«»«»

*خودرو صفر کیلومتر میباشد*

*تحویل یک ساعته فوری همان روز*

*دارای یکسال بیمه شخص ثالث میباشد*

*اول تحویل خودرو  و بعد تسویه*

*دارای دو سال گارانتی شرکتی میباشد*

*بصورت اقساطی با چک*

*آخرین خروجی کارخانه میباشد*

*دبل چک شده کارخانه و رنگ دوپوششه میباشد*

*امکان تسویه زودتر از موعد همراه با کسر سود*

*هفتاد درصد تخفیف بیمه بدنه *

*شرایط محدود میباشد*

*استعلام قیمت به روز*

«»«» تا دیر نشده ماشین مورد علاقتو‌ بخر «»«»

مشاور شما:
خانم کیا",۰,۱۴۰۴ - ۲۰۲۵,خاکستری,زامیاد Z 24 دوگانه سوز آپشنال,۱۲ ماه,دنده‌ای,سالم و پلمپ,دوگانه‌سوز شرکتی,"‏۱,۱۰۰,۰۰۰ تومان",سالم,سالم و پلمپ,سالم و بی‌خط و خش,,1100000.0,0.0,1404.0,2025.0
ganG-ufV,تارا V4 صفر 1405_نقد و اقساط_تحویل فوری,2026-09-15 11:12:00,تهران,سلسبیل شمالی,https://divar.ir/v/ganG-ufV,"فروش نقدی و اقساطی انواع خودرو های داخلی و خارجی ✅
فقط با دسته چک ✅
بدون ضامن
اقساط۶تا۲۴ماهه ✅
تحویل یک ساعته هم زمان با پیش پرداخت ✅
سندو مدارک بنام خریدار ✅
تنوع در رنگ ✅
پرداخت اقساط هر دو ماه یا هر سه ماه
در صورت نداشتن چک میتوانید از چک شخص دیگری استفاده نمایید ✅
قابل اجرا برای تمامی شهرستانها ✅
پلاک روز، بیمه شخص ثالث، گارانتی ✅ 
تسویه زودتر از موعد با کسر سود ✅ 
جهت کسب اطلاعات بیشتر با شماره
زیر تماس حاصل فرمایید  
((مدیرفروش: خانم علاقمند ))",۰,۱۴۰۵ - ۲۰۲۶,سفید,تارا وی 4 ال ایکس TU5P,۱۲ ماه,اتوماتیک,سالم و پلمپ,بنزین,"‏۱۰۰,۰۰۰ تومان",سالم,سالم و پلمپ,سالم و بی‌خط و خش,,100000.0,0.0,1405.0,2026.0
gaoavEZC,بیجینگ ایکس 7 سفید 1405 تحویل فوری,2026-09-15 11:11:00,تهران,چوب تراش,https://divar.ir/v/gaoavEZC,"❇️گروه خودرویی ستوده❇️
™️مرجع تخصصی خرید و فروش خودرو در کشور™️
فروش تمامی خودروهای وارداتی و مونتاژ و داخلی
بدون دریافت کمیسیون و هزینه اضافی
✅فروش بصورت نقد و اقساط از یکسال تا پنج سال✅
✴️از نمایندگی معتبر خرید کنید دفتر فروش نیستیم✴️
✳️امکان کارشناسی قبل از خرید✳️
بیجینگ ایکس 7
✅مدل 1405
✅سفید 
✅جهت ارتباط و کسب اطلاعات بیشتر از طریق شماره تماس با ما در ارتباط باشید",۰,۲۰۲۶,سفید,بایک Beijing X7,۱۲ ماه,اتوماتیک,سالم و پلمپ,بنزین,"‏۱,۰۰۰ تومان",سالم,سالم و پلمپ,سالم و بی‌خط و خش,,1000.0,0.0,1405.0,2026.0
gaEC0krm,فیدلیتی الیت ۷ نفره مشکی مدل ۱۴۰۵(مهرشاد میرزایی),2026-08-22 15:43:00,تهران,هروی,https://divar.ir/v/gaEC0krm,"فیدلیتی الیت ۷ نفره مشکی مدل ۱۴۰۵
برج روز کف نمایشگاه موجود.
ساعت تماس از ۱۰ صبح الی ۱۹
ارادتمند شما مهرشاد میرزایی.",۱۰,۱۴۰۵ - ۲۰۲۶,مشکی,فیدلیتی Elite 7 seater,۱۲ ماه,اتوماتیک,سالم و پلمپ,بنزین,"‏۱,۰۰۰ تومان",سالم,سالم و پلمپ,سالم و بی‌خط و خش,,1000.0,10.0,1405.0,2026.0
gav51Sox,دفتر حواله خودرو,2026-08-02 18:42:00,تهران,نارمک جنوبی,https://divar.ir/v/gav51Sox,"حواله  ایران خودرو
 تهران و کل ایران",۰,۱۴۰۵ - ۲۰۲۶,بادمجانی,پژو 207i پانوراما اتوماتیک TU5P,,,,بنزین,"‏۱۰,۰۰۰ تومان",تعیین‌نشده,تعیین‌نشده,سالم و بی‌خط و خش,,10000.0,0.0,1405.0,2026.0
gaJG5wAV,دیگنیتی پرستیژ مشکی داخل مشکی ۴۰۴,2026-08-22 15:42:00,تهران,هروی,https://divar.ir/v/gaJG5wAV,"سلام  خدمت شما عزیزان 
خودرو دیگنیتی پرستیژ مشکی داخل مشکی ۴۰۴
مدارک اماده
کارکرد ۳ هزار تا بسیار تمیز و نو 
 تریم داخلی مارون هم موجوده 
تحویل انی در روز به خریدار عزیزمون 
تمامی رنگبندی این خودرو موجود میباشد (۴۰۲)٫(۴۰۳)
بهترین قیمت منطقه 
بیش از ۱۵۰ خودرو داخل پارکینگ از تمامی برند های مونتاژ و وارداتی موجوده 
تمامی خودرو های چینی موجود میباشد
با قیمتهای کف بازار و منصفانه 
با ما در ارتباط باشین 
با ما به خودرو دلخواه خود برسین 
افتخار ما اعتبار شما به مجموعه ماست 
ما بدون شما بی اعتباریم 
کارشناس فروش : احسانی 
ممنون که تماس میگیرن",۳۰۰۰,۱۴۰۴ - ۲۰۲۵,مشکی,دیگنیتی پرستیژ,۱۰ ماه,اتوماتیک,سالم و پلمپ,بنزین,"‏۱,۰۰۰ تومان",سالم,سالم و پلمپ,سالم و بی‌خط و خش,,1000.0,3000.0,1404.0,2025.0
gam-TzYN,کوییکGXRL جی ایکس ار صفر تحویل فوری,2026-09-13 09:47:00,تهران,اسکندری,https://divar.ir/v/gam-TzYN,"❌❌ فـروش اقســاطـی نداریـم ❌❌

⬅️ قیمت قطعی و واقعی بدون افزایش قیمت به هر دلیلی ، بدون هزینه کمسیون و کارمزد

 ⬅️ ⬅️ هنگام خرید هیچگونه تغییر قیمت نخواهد داشت

✅ یکسال بیمه شخص ثالث
✅ 3 سال گارانتی تا 60 هزار کیلومتر
✅ ۷۰ درصد تخفیف بیمه بدنه

⬅️⬅️ نقدی پلاک شده صفر خشک

خودروی فوق دارای آپشن های شرکتی زیر می باشد:
⭐ دیلایت
⭐ ترمز ABS _ استاندارد ۸۵گانه
⭐ فرمان هیدرولیک_ فرمان دیکات
⭐ شیشه ها برقی
⭐️ موتور ارتقا یافته

☎️☎️ شماره تماس مستقیم خط ویژه ( ساعت 8 الی 17 ))
ساعت تماس » 8 صبح الی 17:30
آدرس : خیابان جمهوری انتهای باستان جنوبی ابتدای کمالی نبش بن بست سعید پ 554",۰,۱۴۰۵ - ۲۰۲۶,سفید,کوییک GXR تیپ L,۱۲ ماه,دنده‌ای,سالم و پلمپ,بنزین,"‏۱۰۰,۰۰۰ تومان",سالم,سالم و پلمپ,سالم و بی‌خط و خش,,100000.0,0.0,1405.0,2026.0
gapqGbDT,حواله خودرو. جانبازی مشارکت,2026-09-15 19:26:00,تهران,گلستان (شهرک راه آهن),https://divar.ir/v/gapqGbDT,"حواله جانبازی جهت مشارکت 
واسطه دلال تماس نگیرد
فقط جانباز تماس بگیرد 
خودم مستقیم قرار داد میبندم 
ماموت خودرو، نگین تندیس الماس ،ماهان صنعت 
ثبت و سفارش شده 
با جانباز تعامل میکنیم",۱۵۰۰۰,۲۰۲۵,مشکی,تویوتا Camry hybrid 2.5L Lumiere,,,,هیبرید,"‏۱۰۰,۰۰۰ تومان",تعیین‌نشده,تعیین‌نشده,سالم و بی‌خط و خش,,100000.0,15000.0,1404.0,2025.0
gapaGp6o,CHEVROLET CAMARO RS 2016,2026-09-15 19:12:00,تهران,ولنجک,https://divar.ir/v/gapaGp6o,"مجموعه ترخیص کارز کارگزار مستقیم خودرو گذرموقت در تهران
 CHEVROLET CAMARO RS 2016 
 داخل چرم
⚡️ موتور 2.0 Turbo
 6 سیلندر توربو
⚙️ گیربکس اتوماتیک
 کارکرد 105,000 KM
✅ تریم RS
✅ 4 تکه رنگ
✅ صندلی‌های چرمی
✅ 4 نفره
⛽️ بنزینی
 قیمت: فقط 29000 هزار دلار

برای اطلاعات بیشتر تماس بگیرید.
✨ این ماشین برای آدمی‌ست که با یک انتخاب، خیالش راحت می‌شود",۱۰۵۰۰۰,۲۰۱۶,مشکی,شورولت کامارو,,اتوماتیک,,بنزین,"‏۱۰۰,۰۰۰ تومان",سالم,سالم و پلمپ,سالم و بی‌خط و خش,,100000.0,105000.0,1395.0,2016.0
