token,title,publish_date,city,district,url,description,mileage,year_raw,color,brand_model,third_party_insurance,Gearbox_type,Gearbox_condition,fuel_type,asking_price_raw,engine_condition,chassis_condition,body_condition,vehicle_type,asking_price,mileage_km,year_jalali,year_gregorian,price_corrected,price_original_raw,price_flag_extreme_high,mileage_flag_high,brand,is_pickup,brand_matched,insurance_months_left,brand_freq,district_freq,city_freq,fuel_type_freq,Gearbox_type_freq,Gearbox_condition_freq,engine_condition_freq,chassis_condition_freq,body_condition_freq
gaoqvAgZ,تی 8مدل 1403,2026-09-15 11:26:00,تهران,مطهری,https://divar.ir/v/gaoqvAgZ,"ماشین سالم سالم 
بی رنگ 
شاسی سالم 
گارانتی فعال
افرود نرفته 
با گیت زیر بندی به ارزش 300میلیون
معاوضه ندارم
لطفا خریدار واقعی تماس بگیره ممنون میشم 
ادرس شهرری دولت اباد خیابان علینواز خیابان حسن زاده پلاک 16
اتو صدرا",۳۵۰۰۰,۱۴۰۳ - ۲۰۲۴,مشکی,کی ام سی T8,۶ ماه,دنده‌ای,سالم و پلمپ,بنزین,"‏۴,۳۵۰,۰۰۰,۰۰۰ تومان",سالم,سالم و پلمپ,سالم و بی‌خط و خش,,4350000000.0,35000.0,1403.0,2024.0,False,,False,False,کی,False,False,6.0,0.020910209102091022,0.0028591851322373124,0.3013530135301353,0.8714637146371463,0.708626198083067,0.9797627355198884,0.9317343173431735,0.9197031039136302,0.602091020910209
gaoqPFWP,206sd,2026-09-15 11:26:00,تهران,گلستان (شهرک راه آهن),https://divar.ir/v/gaoqPFWP,"206 sd 
v20 
دولکه رنگ  
ماشین بیش از حد تمیز. 
بدون افتاب سوختگی",۲۷۰۰۰۰,۱۳۸۹ - ۲۰۱۰,مشکی,پژو 206 تیپ ۲,۹ ماه,دنده‌ای,سالم و پلمپ,بنزین,"‏۹۲۰,۰۰۰,۰۰۰ تومان",سالم,سالم و پلمپ,رنگ‌شدگی در ۲ ناحیه,,920000000.0,270000.0,1389.0,2010.0,False,,False,False,پژو,False,False,9.0,0.2816728167281673,0.0035739814152966403,0.3013530135301353,0.8714637146371463,0.708626198083067,0.9797627355198884,0.9317343173431735,0.9197031039136302,0.05289052890528905
gamaFlhj,پارس سال 1400(نقدی و اقساطی),2026-09-13 11:24:00,تهران,شهرک شریعتی,https://divar.ir/v/gamaFlhj,"✅ شرایط فروش اقساطی خودرو
امکان خرید خودرو به‌صورت نقد و اقساط با شرایط ویژه فراهم می‌باشد.
✅ پرداخت ۶۰٪ از مبلغ خودرو به‌صورت نقدی
✅ پرداخت ۴۰٪ باقیمانده به‌صورت اقساط
✅ مدت بازپرداخت از ۶ تا ۳۰ ماه
✅ امکان ارائه چک یا سفته
✅ نرخ اقساط ۴٪ ماهانه
✅ امکان انتخاب خودرو توسط متقاضی
 شرایط خودرو:
✅ خودرو یه لکه جزیی رنگ روی کاپوت برای ظرافت و زیبایی
✅️باطری نو
✅️کولر یخچال
✅ موتور و گیربکس سالم
✅ شاسی سالم به شرط کارشناسی

متقاضی می‌تواند خودروی موردنظر خود را شخصاً انتخاب و معرفی نماید و پس از بررسی و تایید شرایط خودرو، امکانات لازم جهت خرید و پرداخت اقساطی آن فراهم خواهد شد.
 خودرو را شما انتخاب کنید؛ شرایط خرید اقساطی را ما فراهم می‌کنیم.
جهت اطلاع از شرایط، محاسبه پیش‌پرداخت و مبلغ اقساط، مشخصات و قیمت خودروی موردنظر را ارسال فرمایید.",۱۰۵۰۰۰,۱۴۰۰ - ۲۰۲۱,سفید,پژو پارس سال,۶ ماه,دنده‌ای,سالم و پلمپ,بنزین,"‏۱,۰۰۰,۰۰۰,۰۰۰ تومان",سالم,سالم و پلمپ,رنگ‌شدگی در ۱ ناحیه,,1000000000.0,105000.0,1400.0,2021.0,False,,False,False,پژو,False,False,6.0,0.2816728167281673,0.0028591851322373124,0.3013530135301353,0.8714637146371463,0.708626198083067,0.9797627355198884,0.9317343173431735,0.9197031039136302,0.07503075030750307
gaoqvE_p,فروش ویژه دنا پلاس دنده 6 سرعته صفر1405 باتنوع رنگ,2026-09-15 11:26:00,تهران,شهرک آزمایش,https://divar.ir/v/gaoqvE_p,"⚪️⚪️⚪️⚪️⚪️ اتــو مـرزدآران نماینــدگی۱۱۳۵ ⚪️⚪️⚪️⚪️⚪️
       ⚪️⚪️داخلـی⚪️⚪️مونتـاژ⚪️⚪️وآرداتـی⚪️⚪️
________________________________________________
⚪️⚪️⚪️تحـویل درجـا همان لحظــه ✔️✔️✔️
⚪️⚪️⚪️با ۲۰ سـال سابقـه کاری درخشــان ✔️✔️✔️
⚪️⚪️⚪️تحویـل خودرو با ضمانــت بهتریـن کارشناس‌هـا✔️
⚪️⚪️⚪️امکان عقـد قرارداد با شـرکـت‌ها و ارگان‌هـا✔️
═════════════════════════════════
جهـت اطلاع و مشــاوره
با کارشناس فروش ما درتماس باشید، خانوم ⚫️زمانی⚫️
═════════════════════════════════
⚪️⚪️⚪️دوستان درصورت عدم پاسخ گویی کارشناس═══
⚪️⚪️⚪️به صورت حضوری مراجعه فرمایید ═════
⚪️⚪️⚪️ساعات مراجعه: ۹ صبح الی ۷ عصر═════════
⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️
⚫️⚫️⚫️⚫️دوستای عزیز و محترم اگه وسواس دارید ═══
⚫️⚫️⚫️⚫️از هرجایی نمیتونید خرید کنید ═══════
⬅️⬅️⬅️⬅️اینجا بهترین انتخاب ⬅️ برای شماست ➡️
════════════════════════════════︎︎︎︎",۰,۱۴۰۵ - ۲۰۲۶,تیتانیوم,دنا پلاس 6 دنده دستی EF7P,۱۲ ماه,دنده‌ای,سالم و پلمپ,بنزین,"‏۱,۹۳۵,۰۰۰,۰۰۰ تومان",سالم,سالم و پلمپ,سالم و بی‌خط و خش,,1935000000.0,0.0,1405.0,2026.0,False,,False,False,دنا,False,False,12.0,0.037515375153751536,0.0028591851322373124,0.3013530135301353,0.8714637146371463,0.708626198083067,0.9797627355198884,0.9317343173431735,0.9197031039136302,0.602091020910209
gaRe2hdw,هاوال H9 سفید,2026-08-28 14:18:00,تهران,زعفرانیه,https://divar.ir/v/gaRe2hdw,"کاملا سالم و بدون رنگ و فول آپشن
صفر کیلومتر 
مدل ۲۰۲۶
معاوضه نداریم
فقط مصرف کننده تماس بگیرد لطفا
دارای برگه کارشناسی 
تمام مدارک از جمله برگه سبز و برگه کمپانی بنام خودم می‌باشد و دارای بیمه شخص ثالث ۱۲ ماهه",۰,۲۰۲۶,سفید,هاوال H9 2 لیتر توربو آپشنال,۱۲ ماه,اتوماتیک,سالم و پلمپ,بنزین,"‏۱۴,۴۵۰,۰۰۰,۰۰۰ تومان",سالم,سالم و پلمپ,سالم و بی‌خط و خش,,14450000000.0,0.0,1405.0,2026.0,False,,False,False,هاوال,False,False,12.0,0.0018450184501845018,0.0014295925661186562,0.3013530135301353,0.8714637146371463,0.28626198083067095,0.9797627355198884,0.9317343173431735,0.9197031039136302,0.602091020910209
QaR3P-iC,لوکانو L7 ال ۷ مشکی سفید مدل ۱۴۰۵ کهکشانی نقره ای,2026-04-05 15:27:00,تهران,صادقیه,https://divar.ir/v/QaR3P-iC,"⚜️تکران صنعت خودرو با بیش از ۱۵ سال سابقه درخشان و عضو رسمی اتحادیه، اصالت خرید شما را تضمین می‌کند.⚜️
✔️خودرو با امکان نصب تمامی آپشن‌ها با گارانتی عرضه می‌شود.
⭐️ سند آزاد و هزینه انتقال سند بر عهده نمایندگی است. 
✔️تخفیف بیمه بدنه ۵۰ تا ۷۰ درصد.

 شرایط فروش ویژه:
✔️ فروش نقدی و تحویل فوری
✔️ ۲۴ ساعت مهلت کارشناسی و رویت خودرو قبل از تسویه
✔️ ضمانت سلامت خودرو و برگ کارشناسی معتبر
✔️ امکان معاوضه با خودروهای صفر و کارکرده
✔️ موجود در تمامی رنگ‌ها
✔️ تسویه پس از تحویل و تایید کارشناس شما
✔️ بدون واسطه، خرید مطمئن و شفاف
✔️امکان خرید طلا،شمش،دلار، یورو،به قیمت روز بازار 
✔️تحویل خودرو درب منزل شما یا درب نمایندگی به درخواست شما امکان پذیر است.

کارشناس فروش شما :خانم شکیبا

☎️ برای اطلاعات بیشتر و هماهنگی خرید، لطفاً باکارشناس فروش تماس بگیرید در صورت مشغول بودن خطوط فروش به صورت حضوری مراجعه نمایید.",۰,۲۰۲۶,مشکی,لوکانو ال 7 1.6 لیتر توربو,,اتوماتیک,سالم و پلمپ,بنزین,"‏۷,۲۵۰,۰۰۰,۰۰۰ تومان",سالم,سالم و پلمپ,سالم و بی‌خط و خش,,7250000000.0,0.0,1405.0,2026.0,False,,False,False,لوکانو,False,False,,0.003075030750307503,0.028591851322373123,0.3013530135301353,0.8714637146371463,0.28626198083067095,0.9797627355198884,0.9317343173431735,0.9197031039136302,0.602091020910209
QaoP5Er5,دنا پلاس 6 دنده شش سرعته مدل_1405 صفر تحویل روز,2026-04-22 13:08:00,تهران,شهرآرا,https://divar.ir/v/QaoP5Er5,"مارال خودرو ( عاملیت مجاز خودروهای داخلی و خارجی )   

کد انحصاری و نمایندگی  (558512 )

چندین سال سابقه ی فروش درخشان در تهران 

✅فروش بصورت نقدی و تحویل فوری 

✅ نمایندگی فروش محصولات ایران خودرو ٫ سایپا ٫ مدیران خودرو ٫ گروه بهمن و …

◀️  پرداخت وجه بعد از کارشناسی و تحویل خودرو 

◀️ تنوع در انتخاب رنگ 

◀️  تمامی خودروها سند آزاد میباشند
 
◀️  خرید مستقیم از نمایندگی بدون هیچ واسطه ای

✅جهت مشاوره با کارشناس فروش تماس حاصل فرمایید.
 
در صورت عدم پاسخگویی بصورت حضوری مراجعه فرمائید.

کارشناس فروش خانـم مرادی

( با تشکر از اعتماد و انتخاب شما از مجموعه مـارال خـودرو )",۰,۱۴۰۴ - ۲۰۲۵,سفید,دنا پلاس 6 دنده دستی EF7P,,دنده‌ای,,بنزین,"‏۲,۲۵۰,۰۰۰,۰۰۰ تومان",سالم,سالم و پلمپ,سالم و بی‌خط و خش,,2250000000.0,0.0,1404.0,2025.0,False,,False,False,دنا,False,False,,0.037515375153751536,0.007147962830593281,0.3013530135301353,0.8714637146371463,0.708626198083067,,0.9317343173431735,0.9197031039136302,0.602091020910209
gamakAzj,فروش پژو 206 مدل ۹۴ Tu5,2026-09-13 10:14:00,تهران,گیشا,https://divar.ir/v/gamakAzj,"درود ، پژو فوق مدل ۱۳۹۴ شاسیها پلمپ / بی رنگ کم کار کرد  و سند دست اول میباشد
کارشناسی شده توسط خودرو ۴۵",۱۱۰۰۰۰,۱۳۹۴ - ۲۰۱۵,سفید,پژو 206 تیپ ۵,۱۰ ماه,دنده‌ای,سالم و پلمپ,بنزین,"‏۱,۳۶۲,۰۰۰,۰۰۰ تومان",سالم,سالم و پلمپ,سالم و بی‌خط و خش,,1362000000.0,110000.0,1394.0,2015.0,False,,False,False,پژو,False,False,10.0,0.2816728167281673,0.0007147962830593281,0.3013530135301353,0.8714637146371463,0.708626198083067,0.9797627355198884,0.9317343173431735,0.9197031039136302,0.602091020910209
gaN65VSl,دنا اتومات ۱۴۰۳ تیتانیوم,2026-08-25 17:24:00,تهران,ایران,https://divar.ir/v/gaN65VSl,"بدون رنگ و خط و خش
به شرط کارشناسی",۲۹۰۰۰,۱۴۰۳ - ۲۰۲۴,تیتانیوم,دنا پلاس اتوماتیک,۶ ماه,اتوماتیک,سالم و پلمپ,بنزین,"‏۲,۶۸۰,۰۰۰,۰۰۰ تومان",سالم,سالم و پلمپ,سالم و بی‌خط و خش,,2680000000.0,29000.0,1403.0,2024.0,False,,False,False,دنا,False,False,6.0,0.037515375153751536,0.002144388849177984,0.3013530135301353,0.8714637146371463,0.28626198083067095,0.9797627355198884,0.9317343173431735,0.9197031039136302,0.602091020910209
gamW-6fg,برلیانس330مدل96اتومات عروسک,2026-09-13 21:36:00,تهران,افسریه شمالی,https://divar.ir/v/gamW-6fg,"برلیانس مدل96اتومات 
بدنه بدون کوچکترین نقطه 
شاسی جلو عقب پلمپ 
فقط فقط لبه صندوق عقب به اندازه یک کف دست رنگ دارد که داخل عکس آخر با رسم شکل نشون دادم سینی ی ضربه کوچیک دارد درکل شاسی پلمپ میباشد 
اطراف خودرو عروسک می‌باشد بدون کوچکترین لیسه و...چیزی
کارکرد 100تا
دارای سانروف 
 مانیتور 
روکش صندلی 
کف پوش
کفی سه بعدی 
چهار حلقه لاستیک 100%
زاپاس خشک 
دارای بیمه بدنه
بیمه سه ماه

 مدارک تکمیل 
تمام لوازم مصرفیش نو 
بدون یک ریال هزینه اضافی 
خودرو فوق بدون کوچکترین پوسیدگی میباشد
خودرو فوق سالم سلامت
تخفبف جزی پای معامله",۱۰۰۰۰۰,۱۳۹۶ - ۲۰۱۷,سفید,برلیانس H330 اتوماتیک 1500cc,۳ ماه,اتوماتیک,سالم و پلمپ,بنزین,"‏۲,۰۱۰,۰۰۰,۰۰۰ تومان",سالم,سالم و پلمپ,سالم و بی‌خط و خش,,2010000000.0,100000.0,1396.0,2017.0,False,,False,False,برلیانس,False,False,3.0,0.007380073800738007,0.002144388849177984,0.3013530135301353,0.8714637146371463,0.28626198083067095,0.9797627355198884,0.9317343173431735,0.9197031039136302,0.602091020910209
gafq51Li,اریزو 8 مدل 1402 سفید صفر کیلومتر,2026-09-08 08:49:00,تهران,فرحزاد,https://divar.ir/v/gafq51Li,"اریزو 8 
مدل 1402
صفر کیلومتر
سفید
به شرط کارشاسی خواب بوده تو پارکینگ جهت بازدید و دریافت اطلاعات بیشتر تماس بگیرید",۰,۲۰۲۳,سفید,فونیکس آریزو 8 (Z8),۶ ماه,اتوماتیک,سالم و پلمپ,بنزین,"‏۶,۶۰۰,۰۰۰,۰۰۰ تومان",سالم,سالم و پلمپ,سالم و بی‌خط و خش,,6600000000.0,0.0,1402.0,2023.0,False,,False,False,فونیکس,False,False,6.0,0.02029520295202952,0.0014295925661186562,0.3013530135301353,0.8714637146371463,0.28626198083067095,0.9797627355198884,0.9317343173431735,0.9197031039136302,0.602091020910209
gaomvrdb,لیفان ایکس60اتومات مدل97,2026-09-15 11:25:00,تهران,کن,https://divar.ir/v/gaomvrdb,"سلام
خودرو سالم
فنی و گیربکس سالم می‌باشد
بیمه و معاینه فنی دارد",۲۵۰۰۰۰,۱۳۹۷ - ۲۰۱۸,سفید,لیفان X60 اتوماتیک,۵ ماه,اتوماتیک,سالم و پلمپ,بنزین,"‏۱,۸۸۰,۰۰۰,۰۰۰ تومان",سالم,سالم و پلمپ,سالم و بی‌خط و خش,,1880000000.0,250000.0,1397.0,2018.0,False,,False,False,لیفان,False,False,5.0,0.004305043050430504,0.0007147962830593281,0.3013530135301353,0.8714637146371463,0.28626198083067095,0.9797627355198884,0.9317343173431735,0.9197031039136302,0.602091020910209
gaXKQ_Be,پراید 88 تصادفی,2026-09-01 20:23:00,تهران,نیروی هوایی (پیروزی),https://divar.ir/v/gaXKQ_Be,ماشین در پارکینگ شهرکرد میباشد,۲۰۰۰۰۰,۱۳۸۸ - ۲۰۰۹,سفید,پراید Saba GLXI,,دنده‌ای,,بنزین,"‏۱۸۰,۰۰۰,۰۰۰ تومان",تعیین‌نشده,تعیین‌نشده,تصادفی,,180000000.0,200000.0,1388.0,2009.0,False,,False,False,پراید,False,False,,0.13899138991389914,0.004288777698355968,0.3013530135301353,0.8714637146371463,0.708626198083067,,0.05289052890528905,0.06545209176788123,0.010455104551045511
gaomv6Fm,پراید صبا Gtx مدل ۸۲ تمیز,2026-09-15 11:25:00,تهران,مقدم,https://divar.ir/v/gaomv6Fm,"سلام
ماشین ۲۰ سال دست خودم بوده
۷ ماه و نیم بیمه شخص ثالث داره
۶ ماه نیم معاینه فنی داره
ماشین کم کارکرد و بسیار تمیز
بدنه بدون رنگ واقعی
دو نقطه کوچیک بی رنگ در اومده
دزدگیر داره
فنی و بدنه سالم به شرط کارشناسی
روغن موتور و فیلترها تازه تعویض شده
ماشین کاربراتوری میباشد
کولر و بخاری سالم

لطفا فقط خریدار واقعی تماس بگیره
به خریدار واقعی تخفیف جزئی داده میشه",۱۴۶۰۰۰,۱۳۸۲ - ۲۰۰۳,سفید,پراید صندوق دار بنزینی,۷ ماه,دنده‌ای,سالم و پلمپ,بنزین,"‏۴۷۰,۰۰۰,۰۰۰ تومان",سالم,سالم و پلمپ,خط و خش جزیی,,470000000.0,146000.0,1382.0,2003.0,False,,False,False,پراید,False,False,7.0,0.13899138991389914,0.0007147962830593281,0.3013530135301353,0.8714637146371463,0.708626198083067,0.9797627355198884,0.9317343173431735,0.9197031039136302,0.0940959409594096
